site_id,site_name,method,latitude,longitude,position,species,detail
appledore-23,Trap or seine site,Trap or seine,42.982854,-70.604091,estimated from guide map (~50 m),Mummichog,dia-hi
smuttynose-star-1,Trap or seine site,Trap or seine,42.980919,-70.611721,estimated from guide map (~50 m),Mummichog,dia-hi
smuttynose-star-2,Trap or seine site,Trap or seine,42.976884,-70.612692,estimated from guide map (~50 m),Mummichog,dia-hi
smuttynose-star-3,Rod and reel spot,Rod and reel,42.984014,-70.606533,estimated from guide map (~50 m),Atlantic Mackerel,rod
smuttynose-star-4,Rod and reel spot,Rod and reel,42.971061,-70.61494,estimated from guide map (~50 m),Atlantic Mackerel,rod
smuttynose-star-5,Rod and reel spot,Rod and reel,42.971426,-70.613638,estimated from guide map (~50 m),Atlantic Mackerel,rod
smuttynose-star-6,Rod and reel spot,Rod and reel,42.970697,-70.613044,estimated from guide map (~50 m),Atlantic Mackerel,rod
new-castle-2,Trap or seine site,Trap or seine,43.065617,-70.698372,estimated from guide map (~50 m),Sandlance,dia-lo
new-castle-3,Trap or seine site,Trap or seine,43.077033,-70.69953,estimated from guide map (~50 m),Sandlance,dia-lo
offshore-1,Bait-fishing spot,Bait fishing,42.975742,-70.591055,estimated from guide map (~50 m),Atlantic Cod,bait
offshore-1,Bait-fishing spot,Bait fishing,42.975742,-70.591055,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-2,Bait-fishing spot,Bait fishing,42.972075,-70.610209,estimated from guide map (~50 m),Atlantic Cod,bait
offshore-2,Bait-fishing spot,Bait fishing,42.972075,-70.610209,estimated from guide map (~50 m),Atlantic Pollock,bait
offshore-2,Bait-fishing spot,Bait fishing,42.972075,-70.610209,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-2,Bait-fishing spot,Bait fishing,42.972075,-70.610209,estimated from guide map (~50 m),Rockfish,bait
offshore-3,Bait-fishing spot,Bait fishing,42.971025,-70.613091,estimated from guide map (~50 m),Atlantic Cod,bait
offshore-3,Bait-fishing spot,Bait fishing,42.971025,-70.613091,estimated from guide map (~50 m),Atlantic Pollock,bait
offshore-3,Bait-fishing spot,Bait fishing,42.971025,-70.613091,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-4,Bait-fishing spot,Bait fishing,42.964161,-70.602933,estimated from guide map (~50 m),Atlantic Cod,bait
offshore-4,Bait-fishing spot,Bait fishing,42.964161,-70.602933,estimated from guide map (~50 m),Atlantic Pollock,bait
offshore-5,Bait-fishing spot,Bait fishing,42.961667,-70.568223,estimated from guide map (~50 m),Atlantic Cod,bait
offshore-6,Bait-fishing spot,Bait fishing,42.961589,-70.566865,estimated from guide map (~50 m),Atlantic Cod,bait
offshore-7,Bait-fishing spot,Bait fishing,42.971916,-70.610492,estimated from guide map (~50 m),Atlantic Pollock,bait
offshore-7,Bait-fishing spot,Bait fishing,42.971916,-70.610492,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-8,Bait-fishing spot,Bait fishing,42.970609,-70.612568,estimated from guide map (~50 m),Atlantic Pollock,bait
offshore-8,Bait-fishing spot,Bait fishing,42.970609,-70.612568,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-9,Bait-fishing spot,Bait fishing,42.970831,-70.60079,estimated from guide map (~50 m),Atlantic Pollock,bait
offshore-10,Bait-fishing spot,Bait fishing,42.965688,-70.619659,estimated from guide map (~50 m),Atlantic Pollock,bait
offshore-10,Bait-fishing spot,Bait fishing,42.965688,-70.619659,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-11,Bait-fishing spot,Bait fishing,42.962398,-70.601184,estimated from guide map (~50 m),Atlantic Pollock,bait
offshore-11,Bait-fishing spot,Bait fishing,42.962398,-70.601184,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-11,Bait-fishing spot,Bait fishing,42.962398,-70.601184,estimated from guide map (~50 m),Rockfish,bait
offshore-12,Bait-fishing spot,Bait fishing,42.96222,-70.604374,estimated from guide map (~50 m),Atlantic Pollock,bait
offshore-12,Bait-fishing spot,Bait fishing,42.96222,-70.604374,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-13,Bait-fishing spot,Bait fishing,42.996407,-70.616447,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-14,Bait-fishing spot,Bait fishing,42.992825,-70.610156,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-15,Bait-fishing spot,Bait fishing,42.978491,-70.611145,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-16,Bait-fishing spot,Bait fishing,42.971407,-70.625213,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-17,Bait-fishing spot,Bait fishing,42.970227,-70.61088,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-18,Bait-fishing spot,Bait fishing,42.971313,-70.613186,estimated from guide map (~50 m),Atlantic Mackerel,bait
offshore-19,Bait-fishing spot,Bait fishing,42.970337,-70.6114,estimated from guide map (~50 m),Atlantic Mackerel,bait
bait-sculpin,Bait-fishing spot,Bait fishing,42.972967,-70.601633,surveyed GPS,Sculpin,bait
